,Unnamed: 0,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Onshore
0,2015-01-01 00:00:00+02:00,29.0,2651.0,160.0,900.0,128.0,150.0,67.0,68.0,31.0,282.0
1,2016-01-01 00:00:00+02:00,65.0,1719.0,160.0,900.0,128.0,35.0,,69.0,21.0,366.0
2,2017-01-01 00:00:00+02:00,101.0,1656.0,160.0,900.0,128.0,35.0,84.0,80.0,21.0,426.0
3,2018-01-01 00:00:00+02:00,102.0,1873.0,0.0,900.0,128.0,37.0,0.0,82.0,22.0,509.0
4,2019-01-01 00:00:00+02:00,96.0,1710.0,0.0,900.0,128.0,140.0,0.0,82.0,21.0,525.0
5,2020-01-01 00:00:00+02:00,98.0,1770.0,0.0,900.0,128.0,144.0,0.0,103.0,22.0,534.0
6,2021-01-01 00:00:00+02:00,99.0,1887.0,0.0,900.0,128.0,37.0,0.0,169.0,48.0,540.0
7,2022-01-01 00:00:00+02:00,95.0,1527.0,0.0,900.0,128.0,37.0,0.0,259.0,70.0,671.0
8,2023-01-01 00:00:00+02:00,99.0,1518.0,0.0,900.0,128.0,37.0,0.0,578.0,70.0,814.0
9,2024-01-01 00:00:00+02:00,196.0,1503.0,0.0,900.0,129.0,37.0,0.0,1165.0,70.0,1288.0
