Epoch,BE_to_NL_R2,NL_to_BE_R2,SI_to_IT_NORD_R2,PT_to_ES_R2,FR_to_IT_NORD_R2,DE_LU_to_NL_R2,NL_to_DE_LU_R2,CH_to_IT_NORD_R2,BE_to_NL_MAE,NL_to_BE_MAE,SI_to_IT_NORD_MAE,PT_to_ES_MAE,FR_to_IT_NORD_MAE,DE_LU_to_NL_MAE,NL_to_DE_LU_MAE,CH_to_IT_NORD_MAE
1,-0.046454784451284814,-0.004254463525621199,-0.6628844246566585,0.18795934720120178,-0.6894087871545045,-0.09820450054487151,0.009487629043994916,0.24338410167819657,297.23282,361.6539,127.05144,337.2073,821.59924,464.39102,453.37216,538.65326
2,-0.0016300759626368677,0.013155504241677218,0.3211261157032226,-0.1565479114749957,0.3077224699288382,-0.07992603687303079,-0.07340472873197523,0.19272419391253037,294.04352,408.27792,76.940544,410.95117,563.96844,431.46213,566.12915,561.4854
3,0.04162301253369671,0.02934914802752331,0.4249686860067563,-0.09323632558896722,0.29142687841538284,-0.08238201318301153,-0.0778160268695709,0.3433989508743276,259.68915,387.29437,67.212555,400.3408,576.3084,425.11044,562.8019,513.54156
4,0.036892810847046875,0.032110226146974896,0.1397908864686983,0.0714751884180922,0.08061473887999093,-0.10372991266685627,-0.001271552414676691,-0.08149409222069082,257.13394,381.5251,92.58346,356.501,642.2397,455.62424,503.18158,673.0826
5,0.04625426986278225,0.023763727140560298,-0.6333344081725447,0.02871774838766994,-0.36301203323036346,-0.08282939145021073,0.014695766710739133,-0.839664785333184,252.4618,397.02246,128.13028,368.3849,736.2845,444.5321,479.6644,848.43317
6,0.022860559457272944,0.02285018251903581,-1.0051039476878705,0.1807814812983456,-0.8555918630647774,-0.07801760274505987,0.018977918359174506,-1.028012761563665,276.16098,382.50305,138.68042,332.7938,838.24817,424.9185,466.26935,880.4695
7,-0.0008094563284248846,0.009802823210007472,-0.556271712729693,0.15539279429351338,-0.4095877642865575,-0.08037463527049571,0.0030498495358424194,-0.7102224661363068,295.04153,394.21786,125.111,343.678,746.3567,423.9858,490.52896,821.95447
8,0.03262164888680574,0.01921330686914402,-1.0473455946149701,0.12158168631081878,-0.3740813318755225,-0.07322325711036282,0.005375830936384718,-1.6016316583650596,271.9182,406.65283,141.6478,347.52884,738.5012,445.59598,480.1248,970.58484
9,0.014690489217737968,0.00021923905441390001,-0.9770882753761869,0.1881664678326771,-0.33925157177605714,-0.07867437564665147,0.0062779288393244315,-2.08401626577305,283.9176,411.77466,140.1147,331.3931,727.4984,443.34695,493.3431,1048.2883
10,0.007542979317359588,0.00977195246693563,-1.0080572173973308,0.1639032631678644,-0.32795788502140044,-0.0741327216418386,0.009137784122523418,-2.432452994767507,289.81863,408.61615,140.979,337.11615,727.6441,436.70197,486.56122,1091.0142
11,0.007306524585926288,0.0007391996588158589,-1.7783460553009869,0.20565515333193995,-0.6918091664325827,-0.07546138165443206,0.004082707614374237,-3.02768370154776,290.21063,407.13522,160.66023,328.18524,805.3516,429.39084,486.7435,1160.0205
12,0.0237716647333448,-0.004545617546265035,-1.4657082028899895,0.16980016142701027,-0.736113205322823,-0.09090689077123781,0.012170291651360854,-1.9961593327453353,279.80008,420.6746,153.0845,337.93704,815.027,461.8147,474.8111,1032.059
13,0.015197806717424878,-0.01220210146613665,-1.8101198800147,0.18539981858651344,-0.800177075775339,-0.09170222003329065,0.0070302137174513835,-2.4183260700056373,284.272,427.25153,162.20515,335.93646,826.9809,463.4032,487.70535,1089.0217
14,-0.007952368782830899,-0.03610760960711268,-2.323879227903246,0.19691938856625146,-0.9314832329901301,-0.08794618772440699,-0.006107234749910484,-2.895284431846629,296.916,443.3937,173.16661,332.75458,849.77045,458.36337,509.98923,1146.1794
15,-0.04703270417239702,-0.06776416914959604,-0.6964785148095138,0.03206910249321904,-0.24510687382216845,-0.08749277667653099,-0.045790906363531114,-1.3010532288647947,312.78238,464.0551,131.34035,373.31534,709.1911,457.52347,547.4319,927.15564
16,-0.023007888533993714,-0.050750870824560534,-0.748413024715826,0.12543309034408656,-0.32051361959184255,-0.09318824756469568,-0.04303207973745171,-1.3142840405725358,303.21277,454.68158,132.86671,352.56293,724.445,464.29092,544.6245,926.11316
17,-0.013928911692745904,-0.05739538733187133,-1.0165454462624193,0.1542086745625043,-0.39754702362847283,-0.08786789014388008,-0.039869996440931255,-1.4479447997080648,299.9886,458.84357,141.23988,346.12616,741.44,465.61945,541.34564,946.9931
18,-0.02156606737375033,-0.0684046280601478,-0.9477021516819062,0.06458896954235582,-0.35393544973358226,-0.08736238099378713,-0.061803948287524335,-1.2962347292181922,302.84317,461.89664,139.07945,366.0179,728.2463,459.139,560.98395,927.0212
19,-0.04756197250246341,-0.07163433873163472,-0.16119006587775586,-0.07509760954990075,-0.09741884431905623,-0.07398780599916988,-0.10440395576080497,-0.5887469935037,312.27127,468.55283,110.70424,393.23923,677.89276,434.6317,584.5036,789.95447
20,-0.06275094589708163,-0.07054498185288782,-0.2732969699503358,-0.09878086966638988,-0.04369062362003606,-0.07250763963557216,-0.07722307845293686,-0.6438610096481945,317.36652,467.11298,115.40705,397.65643,665.4515,431.66104,568.9809,805.6636
